actor,movie
Dolores Fonzi,The Film Critic (2013)
Rafael Spregelburd,The Film Critic (2013)
Ranvir Shorey,The Film Emotional Atyachar (2010)
Ravi Kishan,The Film Emotional Atyachar (2010)
Vinay Pathak,The Film Emotional Atyachar (2010)
Amber Lynn,The Filthy Rich (1989)
Buck Adams,The Filthy Rich (1989)
Porsche Lynn,The Filthy Rich (1989)
Jesie St. James,The Filthy Rich: A 24 K-Dirty Movie (1980)
Samantha Fox,The Filthy Rich: A 24 K-Dirty Movie (1980)
Vanessa del Rio,The Filthy Rich: A 24 K-Dirty Movie (1980)
Bo Hopkins,The Final Alliance (1990)
David Hasselhoff,The Final Alliance (1990)
John Saxon,The Final Alliance (1990)
Katharine Ross,The Final Countdown (1980)
Kirk Douglas,The Final Countdown (1980)
Martin Sheen,The Final Countdown (1980)
Adrian Lester,The Final Curtain (2002)
Aidan Gillen,The Final Curtain (2002)
Peter O'Toole,The Final Curtain (2002)
Jim Caviezel,The Final Cut (2004)
Mira Sorvino,The Final Cut (2004)
Robin Williams,The Final Cut (2004)
Malin Akerman,The Final Girls (2015)
Taissa Farmiga,The Final Girls (2015)
Cecilia Yip,The Final Judgement (1993)
Paul Chun,The Final Judgement (1993)
Simon Yam,The Final Judgement (1993)
Fan Liao,The Final Master (2015)
Jia Song,The Final Master (2015)
Wenli Jiang,The Final Master (2015)
Powers Boothe,The Final Season (2007)
Rachael Leigh Cook,The Final Season (2007)
Sean Astin,The Final Season (2007)
Lauren Holly,The Final Storm (2010)
Luke Perry,The Final Storm (2010)
Steve Bacic,The Final Storm (2010)
Ben Foster,The Finest Hours (2016)
Casey Affleck,The Finest Hours (2016)
Chris Pine,The Finest Hours (2016)
Hamid Jebeli,The Finish Line (1986)
Iraj Tahmasb,The Finish Line (1986)
Parviz Poorhosseini,The Finish Line (1986)
Aishwariyaa Bhaskaran,The Fire (2003)
Murali,The Fire (2003)
Shankar Panicker,The Fire (2003)
Don Fernando,The Fire Down Below (1990)
Jessica Bogart,The Fire Down Below (1990)
T.T. Boy,The Fire Down Below (1990)
Joo Won,The Firefighters (2024)
Kwak Do-won,The Firefighters (2024)
Yoo Jae-myung,The Firefighters (2024)
François Papineau,The Fireflies Are Gone (2018)
Karelle Tremblay,The Fireflies Are Gone (2018)
Pierre-Luc Brillant,The Fireflies Are Gone (2018)
Isao Natsuyagi,The Firefly (2001)
Ken Takakura,The Firefly (2001)
Yûko Tanaka,The Firefly (2001)
Gene Hackman,The Firm (1993)
Jeanne Tripplehorn,The Firm (1993)
Tom Cruise,The Firm (1993)
Adam Garcia,The First $20 Million Is Always the Hardest (2002)
Jake Busey,The First $20 Million Is Always the Hardest (2002)
Rosario Dawson,The First $20 Million Is Always the Hardest (2002)
Julian Cheung,The First 7th Night (2009)
Ka-Tung Lam,The First 7th Night (2009)
Michelle Ye,The First 7th Night (2009)
Clara Bellar,The First 9 1/2 Weeks (1998)
Malcolm McDowell,The First 9 1/2 Weeks (1998)
Paul Mercurio,The First 9 1/2 Weeks (1998)
Micaela Ramazzotti,The First Beautiful Thing (2010)
Stefania Sandrelli,The First Beautiful Thing (2010)
Valerio Mastandrea,The First Beautiful Thing (2010)
Margherita Buy,The First Day of My Life (2023)
Toni Servillo,The First Day of My Life (2023)
Valerio Mastandrea,The First Day of My Life (2023)
Déborah François,The First Day of the Rest of Your Life (2008)
Jacques Gamblin,The First Day of the Rest of Your Life (2008)
Zabou Breitman,The First Day of the Rest of Your Life (2008)
Alessandro Borghi,The First King (2019)
Alessio Lapice,The First King (2019)
Fabrizio Rongione,The First King (2019)
Heather Graham,The First Man (1996)
Lesley Ann Warren,The First Man (1996)
Roxana Zal,The First Man (1996)
Aparna Sen,The First Monsoon Day (2002)
Dipankar Dey,The First Monsoon Day (2002)
Mithun Chakraborty,The First Monsoon Day (2002)
Jeff Kober,The First Power (1990)
Lou Diamond Phillips,The First Power (1990)
Tracy Griffith,The First Power (1990)
Hsiao-Fen Lu,The First Stitch (1984)
Sheng-Li Cho,The First Stitch (1984)
Shu-Chun Ni,The First Stitch (1984)
Erika Toda,The First Supper (2019)
Shôta Sometani,The First Supper (2019)
Yôsuke Kubozuka,The First Supper (2019)
Britt Robertson,The First Time (2012)
Dylan O'Brien,The First Time (2012)
Victoria Justice,The First Time (2012)
Catherine Jacob,The First Time I Turned Twenty (2004)
Marilou Berry,The First Time I Turned Twenty (2004)
Serge Riaboukine,The First Time I Turned Twenty (2004)
Charlie Cho,The First Vampire in China (1986)
Ho-Kwong Tang,The First Vampire in China (1986)
Te-Lo Mai,The First Vampire in China (1986)
Bette Midler,The First Wives Club (1996)
Diane Keaton,The First Wives Club (1996)
Goldie Hawn,The First Wives Club (1996)
Dan Byrd,The First of May (1999)
Julie Harris,The First of May (1999)
Mickey Rooney,The First of May (1999)
Albert Dupontel,"The First, the Last (2016)"
Bouli Lanners,"The First, the Last (2016)"
Suzanne Clément,"The First, the Last (2016)"
Golshifteh Farahani,The Fish Fall in Love (2005)
Reza Kianian,The Fish Fall in Love (2005)
Roya Nonahali,The Fish Fall in Love (2005)
Kaho,The Fish Tale (2022)
Non,The Fish Tale (2022)
Yûya Yagira,The Fish Tale (2022)
Edward Burns,The Fitzgerald Family Christmas (2012)
Heather Burns,The Fitzgerald Family Christmas (2012)
Kerry Bishé,The Fitzgerald Family Christmas (2012)
Jinpachi Nezu,The Five (1995)
Kôichi Satô,The Five (1995)
Masahiro Motoki,The Five (1995)
Leon,The Five Heartbeats (1991)
Michael Wright,The Five Heartbeats (1991)
Robert Townsend,The Five Heartbeats (1991)
Kazuhiko Inoue,The Five Star Stories (1989)
Ryô Horikawa,The Five Star Stories (1989)
Chris Pratt,The Five-Year Engagement (2012)
Emily Blunt,The Five-Year Engagement (2012)
Jason Segel,The Five-Year Engagement (2012)
Li Wang,The Flag of Iron (1980)
Phillip Chung-Fung Kwok,The Flag of Iron (1980)
Sheng Chiang,The Flag of Iron (1980)
Ezra Miller,The Flash (2023)
Michael Keaton,The Flash (2023)
Don Stroud,The Flesh Merchant (1993)
Joe Estevez,The Flesh Merchant (1993)
Neil Delama,The Flesh Merchant (1993)
Alicia Witt,The Flight of the Swan (2010)
Colm Meaney,The Flight of the Swan (2010)
James D'Arcy,The Flight of the Swan (2010)
John Goodman,The Flintstones (1994)
Rick Moranis,The Flintstones (1994)
Rosie O'Donnell,The Flintstones (1994)
Mana Ashida,The Floating Castle (2012)
Takayuki Yamada,The Floating Castle (2012)
Takehiro Hira,The Floating Castle (2012)
Ekin Cheng,The Floating Landscape (2003)
Karena Ka-Yan Lam,The Floating Landscape (2003)
Ye Liu,The Floating Landscape (2003)
Michael Moshonov,The Flood (2010)
Ronit Elkabetz,The Flood (2010)
Tzahi Grad,The Flood (2010)
Casper Van Dien,The Flood (2023)
Louis Mandylor,The Flood (2023)
Nicky Whelan,The Flood (2023)
Ian De Leon,The Flor Contemplacion Story (1995)
Nora Aunor,The Flor Contemplacion Story (1995)
Vina Morales,The Flor Contemplacion Story (1995)
Jeremy Davies,The Florentine (1999)
Luke Perry,The Florentine (1999)
Virginia Madsen,The Florentine (1999)
Benoît Magimel,The Flower of Evil (2003)
Nathalie Baye,The Flower of Evil (2003)
Carme Elias,The Flower of My Secret (1995)
Juan Echanove,The Flower of My Secret (1995)
Marisa Paredes,The Flower of My Secret (1995)
Ahn Sung-ki,The Flower on the Equator (1983)
Chang Mi-hee,The Flower on the Equator (1983)
Won Namkung,The Flower on the Equator (1983)
Geena Davis,The Fly (1986)
Jeff Goldblum,The Fly (1986)
John Getz,The Fly (1986)
Gabi Amrani,The Flying Camel (1994)
Mosko Alkalai,The Flying Camel (1994)
Yigal Adika,The Flying Camel (1994)
Cherie Chung,The Flying Mr. B (1985)
Jing Wong,The Flying Mr. B (1985)
Kenny Bee,The Flying Mr. B (1985)
Blanca Guerra,The Flying Pony (1982)
Roberto Sosa,The Flying Pony (1982)
Brian Cox,The Flying Scotsman (2006)
Jonny Lee Miller,The Flying Scotsman (2006)
Laura Fraser,The Flying Scotsman (2006)
Ling Chia,The Flying Tigers and the Kung Fu Kids (1980)
Shao-Tung Chou,The Flying Tigers and the Kung Fu Kids (1980)
Shih-Chieh King,The Flying Tigers and the Kung Fu Kids (1980)
Dean Cain,The Follower (2019)
Michael Sigler,The Follower (2019)
Timothy E. Goodwin,The Follower (2019)
Bok-gi Min,The Fool 2 (1986)
Jeon Yeong-rok,The Fool 2 (1986)
Mu-jeong Lee,The Fool 2 (1986)
Danny Dyer,The Football Factory (2004)
Frank Harper,The Football Factory (2004)
Tamer Hassan,The Football Factory (2004)
Jackie Chan,The Forbidden Kingdom (2008)
Jet Li,The Forbidden Kingdom (2008)
Eoin Macken,The Forest (2016)
Natalie Dormer,The Forest (2016)
Ana de la Reguera,The Forever Purge (2021)
Josh Lucas,The Forever Purge (2021)
Tenoch Huerta,The Forever Purge (2021)
Cameron Arnett,The Forge (2024)
Priscilla C. Shirer,The Forge (2024)
Alfred Molina,The Forger (2012)
Josh Hutcherson,The Forger (2012)
Lauren Bacall,The Forger (2012)
Christopher Plummer,The Forger (2014)
John Travolta,The Forger (2014)
Tye Sheridan,The Forger (2014)
Boris Milivojevic,The Forgotten (1988)
Mirjana Joković,The Forgotten (1988)
Srdjan 'Zika' Todorovic,The Forgotten (1988)
Arnold Reyes,The Forgotten War (2009)
Baron Geisler,The Forgotten War (2009)
Yul Servo,The Forgotten War (2009)
George C. Scott,The Formula (1980)
Marlon Brando,The Formula (1980)
Marthe Keller,The Formula (1980)
Brendan Fehr,The Forsaken (2001)
Izabella Miko,The Forsaken (2001)
Kerr Smith,The Forsaken (2001)
Kim Yoon-seok,The Fortress (2017)
Lee Byung-hun,The Fortress (2017)
Park Hae-il,The Fortress (2017)
Alan Tam,The Fortune Code (1990)
Andy Lau,The Fortune Code (1990)
Anita Mui,The Fortune Code (1990)
Emilio Garcia,The Fortuneteller (2008)
Eula Valdes,The Fortuneteller (2008)
Glaiza De Castro,The Fortuneteller (2008)
Katja Riemann,The Foster Boy (2011)
Maximilian Simonischek,The Foster Boy (2011)
Stefan Kurt,The Foster Boy (2011)
Jang Jin-young,The Foul King (2000)
Park Sang-myun,The Foul King (2000)
Song Kang-ho,The Foul King (2000)
John Carroll Lynch,The Founder (2016)
Michael Keaton,The Founder (2016)
Nick Offerman,The Founder (2016)
Guoli Zhang,The Founding of a Republic (2009)
Guoqiang Tang,The Founding of a Republic (2009)
Qing Xu,The Founding of a Republic (2009)
Hugh Jackman,The Fountain (2006)
Chao Deng,The Four (2012)
Ronald Cheng,The Four (2012)
Yifei Liu,The Four (2012)
Anthony Chau-Sang Wong,The Four 2 (2013)
Chao Deng,The Four 2 (2013)
Yifei Liu,The Four 2 (2013)
Chao Deng,The Four 3 (2014)
Collin Chou,The Four 3 (2014)
Yifei Liu,The Four 3 (2014)
Heath Ledger,The Four Feathers (2002)
Kate Hudson,The Four Feathers (2002)
Wes Bentley,The Four Feathers (2002)
Cecilia Wong,The Four Invincibles (1979)
Ku Feng,The Four Invincibles (1979)
Kwok-Choi Hon,The Four Invincibles (1979)
Alan Alda,The Four Seasons (1981)
Carol Burnett,The Four Seasons (1981)
Len Cariou,The Four Seasons (1981)
Amir Aghaee,The Four Walls (2021)
Denizhan Akbaba,The Four Walls (2021)
Funda Eryigit,The Four Walls (2021)
Forest Whitaker,The Fourth Angel (2001)
Jason Priestley,The Fourth Angel (2001)
Jeremy Irons,The Fourth Angel (2001)
Elias Koteas,The Fourth Kind (2009)
Milla Jovovich,The Fourth Kind (2009)
Michael Caine,The Fourth Protocol (1987)
Pierce Brosnan,The Fourth Protocol (1987)
Kasia Smutniak,The Fourth State (2012)
Max Riemelt,The Fourth State (2012)
Moritz Bleibtreu,The Fourth State (2012)
Laurent Lafitte,The Fourth Wall (2024)
Manal Issa,The Fourth Wall (2024)
Simon Abkarian,The Fourth Wall (2024)
Ha Jung-woo,The Fox Family (2006)
Joo Hyun,The Fox Family (2006)
Park Jun-gyu,The Fox Family (2006)
Beth Broderick,The Fox Hunter (2020)
Madison Iseman,The Fox Hunter (2020)
Olivia Grace Applegate,The Fox Hunter (2020)
Gillian Chung,The Fox Lover (2013)
Julian Cheung,The Fox Lover (2013)
Kara Ying Hung Wai,The Fox Lover (2013)
André Hennicke,The Free Will (2006)
Jürgen Vogel,The Free Will (2006)
Sabine Timoteo,The Free Will (2006)
Boyd Holbrook,The Free World (2016)
Elisabeth Moss,The Free World (2016)
Octavia Spencer,The Free World (2016)
Alex McKenna,The Freemason (2013)
Randy Wayne,The Freemason (2013)
Sean Astin,The Freemason (2013)
Behnoosh Tabatabaei,The Freeway (2012)
Houman Seyyedi,The Freeway (2012)
Mahdi Pakdel,The Freeway (2012)
Claude D. Miles,The Freeze (2016)
Katie Stewart,The Freeze (2016)
Sonny Burnette,The Freeze (2016)
Adrien Brody,The French Dispatch (2021)
Benicio Del Toro,The French Dispatch (2021)
Tilda Swinton,The French Dispatch (2021)
Babz Chula,The French Guy (2005)
Carly Pope,The French Guy (2005)
Tygh Runyan,The French Guy (2005)
Niels Arestrup,The French Minister (2013)
Raphaël Personnaz,The French Minister (2013)
Thierry Lhermitte,The French Minister (2013)
François Cluzet,The French Revolution (1989)
Jane Seymour,The French Revolution (1989)
Klaus Maria Brandauer,The French Revolution (1989)
Karolina Gruszka,The French Trick (2006)
Maciej Stuhr,The French Trick (2006)
Robert Wieckiewicz,The French Trick (2006)
Bruno Kirby,The Freshman (1990)
Marlon Brando,The Freshman (1990)
Matthew Broderick,The Freshman (1990)
Funny Bone,The Friend Zone (2017)
Onyii Alex,The Friend Zone (2017)
Rekiya Attah,The Friend Zone (2017)
Diego Abatantuono,The Friends at the Margherita Cafe (2009)
Fabio De Luigi,The Friends at the Margherita Cafe (2009)
Laura Chiatti,The Friends at the Margherita Cafe (2009)
Michael J. Fox,The Frighteners (1996)
Peter Dobson,The Frighteners (1996)
Trini Alvarado,The Frighteners (1996)
Hsiao-Fei Li,The Frogmen (1980)
Ko Chun-Hsiung,The Frogmen (1980)
Linda Jui-Chi Liu,The Frogmen (1980)
Fabrizio Rongione,The Front Line (2009)
Giovanna Mezzogiorno,The Front Line (2009)
Riccardo Scamarcio,The Front Line (2009)
Hugh Jackman,The Front Runner (2018)
J.K. Simmons,The Front Runner (2018)
Vera Farmiga,The Front Runner (2018)
Jim Beaver,The Frontier (2015)
Jocelin Donahue,The Frontier (2015)
Kelly Lynch,The Frontier (2015)
John Cusack,The Frozen Ground (2013)
Nicolas Cage,The Frozen Ground (2013)
Vanessa Hudgens,The Frozen Ground (2013)
Harrison Ford,The Fugitive (1993)
Sela Ward,The Fugitive (1993)
Tommy Lee Jones,The Fugitive (1993)
Gérard Depardieu,The Fugitives (1986)
Jean Carmet,The Fugitives (1986)
Pierre Richard,The Fugitives (1986)
Mark Addy,The Full Monty (1997)
Robert Carlyle,The Full Monty (1997)
Tom Wilkinson,The Full Monty (1997)
Chow Yun-Fat,"The Fun, the Luck & the Tycoon (1990)"
Sylvia Chang,"The Fun, the Luck & the Tycoon (1990)"
Craig Roberts,The Fundamentals of Caring (2016)
Paul Rudd,The Fundamentals of Caring (2016)
Selena Gomez,The Fundamentals of Caring (2016)
Annabella Sciorra,The Funeral (1996)
Chris Penn,The Funeral (1996)
Christopher Walken,The Funeral (1996)
Emily Y. Chang,The Funniest Movie (1980)
Kenny Bee,The Funniest Movie (1980)
Sylvia Chang,The Funniest Movie (1980)
Alan Tam,The Funny Couple (1979)
Chelsia Chan,The Funny Couple (1979)
Ping-Yu Chang,The Funny Couple (1979)
Kenny Bee,The Funny General (1980)
Sylvia Chang,The Funny General (1980)
Yueh Sun,The Funny General (1980)
Colleen Anderson,The Fur Trap (1978)
Herschel Savage,The Fur Trap (1978)
Marlene Willoughby,The Fur Trap (1978)
Bas Rutten,The Furry Fortune (2023)
Paula Jai Parker,The Furry Fortune (2023)
Sean Whalen,The Furry Fortune (2023)
Carrie Snodgress,The Fury (1978)
John Cassavetes,The Fury (1978)
Kirk Douglas,The Fury (1978)
Antonio de la Torre,The Fury of a Patient Man (2016)
Luis Callejo,The Fury of a Patient Man (2016)
Ruth Díaz,The Fury of a Patient Man (2016)
Hamish Linklater,The Future (2011)
Miranda July,The Future (2011)
Bahare Afshari,The Future (2021)
Kambiz Dirbaz,The Future (2021)
Pantea Bahram,The Future (2021)
Dolores Fonzi,The Future Ahead (2017)
José María Yazpik,The Future Ahead (2017)
Pilar Gamboa,The Future Ahead (2017)
Hanna Schygulla,The Future Is Woman (1984)
Niels Arestrup,The Future Is Woman (1984)
Ornella Muti,The Future Is Woman (1984)
Cate Blanchett,The Galapagos Affair: Satan Came to Eden (2013)
Sebastian Koch,The Galapagos Affair: Satan Came to Eden (2013)
Thomas Kretschmann,The Galapagos Affair: Satan Came to Eden (2013)
Eduard Fernández,The Galíndez File (2003)
Harvey Keitel,The Galíndez File (2003)
Saffron Burrows,The Galíndez File (2003)
Corinne Cléry,The Gamble (1988)
Jennifer Beals,The Gamble (1988)
Matthew Modine,The Gamble (1988)
Jodhi May,The Gambler (1997)
Michael Gambon,The Gambler (1997)
Polly Walker,The Gambler (1997)
Jessica Lange,The Gambler (2014)
John Goodman,The Gambler (2014)
Mark Wahlberg,The Gambler (2014)
Li Ching,The Gambler and the Fake (1981)
Szu Shih,The Gambler and the Fake (1981)
Wang Kuan-Hsiung,The Gambler and the Fake (1981)
Sammo Kam-Bo Hung,The Gambling Ghost (1991)
Deborah Kara Unger,The Game (1997)
Michael Douglas,The Game (1997)
Sean Penn,The Game (1997)
Dwayne Johnson,The Game Plan (2007)
Kyra Sedgwick,The Game Plan (2007)
Madison Pettis,The Game Plan (2007)
David Morrissey,The Game of Death (2000)
Jonathan Pryce,The Game of Death (2000)
Paul Bettany,The Game of Death (2000)
Chien-Lien Wu,The Game of Killing (2004)
Roy Cheung,The Game of Killing (2004)
Zhiwen Wang,The Game of Killing (2004)
Frank Lammers,The Gang of Oss (2011)
Matthias Schoenaerts,The Gang of Oss (2011)
Sylvia Hoeks,The Gang of Oss (2011)
Ryan Donowho,The Ganzfeld Haunting (2014)
Taylor Cole,The Ganzfeld Haunting (2014)
Toby Hemingway,The Ganzfeld Haunting (2014)
Babak Hamidian,The Gap (2015)
Hanieh Tavassoli,The Gap (2015)
Sahar Dolatshahi,The Gap (2015)
Caterina Murino,The Garden of Eden (2008)
Jack Huston,The Garden of Eden (2008)
Mena Suvari,The Garden of Eden (2008)
Angelica Lee,The Garden of Evening Mists (2019)
Hiroshi Abe,The Garden of Evening Mists (2019)
Sylvia Chang,The Garden of Evening Mists (2019)
Ken'ichi Suzumura,The Garden of Sinners: A Study in Murder - Part 1 (2007)
Maaya Sakamoto,The Garden of Sinners: A Study in Murder - Part 1 (2007)
Takako Honda,The Garden of Sinners: A Study in Murder - Part 1 (2007)
Ken'ichi Suzumura,The Garden of Sinners: A Study in Murder - Part 2 (2009)
Maaya Sakamoto,The Garden of Sinners: A Study in Murder - Part 2 (2009)
Takako Honda,The Garden of Sinners: A Study in Murder - Part 2 (2009)
Ken'ichi Suzumura,The Garden of Sinners: Future Gospel (2013)
Maaya Sakamoto,The Garden of Sinners: Future Gospel (2013)
Takako Honda,The Garden of Sinners: Future Gospel (2013)
Ken'ichi Suzumura,The Garden of Sinners: Oblivion Recording (2008)
Maaya Sakamoto,The Garden of Sinners: Oblivion Recording (2008)
Takako Honda,The Garden of Sinners: Oblivion Recording (2008)
Ken'ichi Suzumura,The Garden of Sinners: Overlooking View (2007)
Maaya Sakamoto,The Garden of Sinners: Overlooking View (2007)
Takako Honda,The Garden of Sinners: Overlooking View (2007)
Ken'ichi Suzumura,The Garden of Sinners: Paradox Spiral (2008)
Maaya Sakamoto,The Garden of Sinners: Paradox Spiral (2008)
Takako Honda,The Garden of Sinners: Paradox Spiral (2008)
Ken'ichi Suzumura,The Garden of Sinners: Remaining Sense of Pain (2008)
Maaya Sakamoto,The Garden of Sinners: Remaining Sense of Pain (2008)
Takako Honda,The Garden of Sinners: Remaining Sense of Pain (2008)
Ken'ichi Suzumura,The Garden of Sinners: The Hollow Shrine (2008)
Maaya Sakamoto,The Garden of Sinners: The Hollow Shrine (2008)
Takako Honda,The Garden of Sinners: The Hollow Shrine (2008)
Fumi Hirano,The Garden of Words (2013)
Kana Hanazawa,The Garden of Words (2013)
Miyu Irino,The Garden of Words (2013)
Angie Everhart,The Gardener (1998)
Malcolm McDowell,The Gardener (1998)
Richard Grieco,The Gardener (1998)
Gary Daniels,The Gardener (2021)
Nicola Wright,The Gardener (2021)
Robert Bronzi,The Gardener (2021)
Choi Bool-am,The Gate (1978)
Hie Bang,The Gate (1978)
Lee Young-ha,The Gate (1978)
Bunta Sugawara,The Gate of Youth (1981)
Keiko Matsuzaka,The Gate of Youth (1981)
Kôichi Satô,The Gate of Youth (1981)
Christina Ricci,The Gathering (2003)
Ioan Gruffudd,The Gathering (2003)
Stephen Dillane,The Gathering (2003)
Cut Mini Theo,The Gathering! 2 (2011)
Surya Saputra,The Gathering! 2 (2011)
Tora Sudiro,The Gathering! 2 (2011)
Mona Zaki,The Gazelle's Blood (2005)
Nour El-Sherif,The Gazelle's Blood (2005)
Youssra,The Gazelle's Blood (2005)
Atsuko Asano,The Geisha (1983)
Ken Ogata,The Geisha (1983)
Kimiko Ikegami,The Geisha (1983)
Louis de Funès,The Gendarme and the Extra-Terrestrials (1979)
Maurice Risch,The Gendarme and the Extra-Terrestrials (1979)
Michel Galabru,The Gendarme and the Extra-Terrestrials (1979)
Louis de Funès,The Gendarme and the Gendarmettes (1982)
Maurice Risch,The Gendarme and the Gendarmettes (1982)
Michel Galabru,The Gendarme and the Gendarmettes (1982)
Alec Newman,The Gene Generation (2007)
Bai Ling,The Gene Generation (2007)
Parry Shen,The Gene Generation (2007)
Dong Han,The General Yu Dayou (2023)
Mingxuan Li,The General Yu Dayou (2023)
Zhenzhen Cui,The General Yu Dayou (2023)
Anouk Aimée,The General of the Dead Army (1983)
Marcello Mastroianni,The General of the Dead Army (1983)
Michel Piccoli,The General of the Dead Army (1983)
James Cromwell,The General's Daughter (1999)
John Travolta,The General's Daughter (1999)
Madeleine Stowe,The General's Daughter (1999)
Albie Casiño,The Generation That Gave Up on Love (2019)
Jane Oineza,The Generation That Gave Up on Love (2019)
Jerome Ponce,The Generation That Gave Up on Love (2019)
Carol Abney,The Genius Club (2006)
Stephen Baldwin,The Genius Club (2006)
Tom Sizemore,The Genius Club (2006)
Chiranjeevi,The Gentleman (1994)
Juhi Chawla,The Gentleman (1994)
Kulbhushan Kharbanda,The Gentleman (1994)
Charlie Hunnam,The Gentlemen (2019)
Matthew McConaughey,The Gentlemen (2019)
Michelle Dockery,The Gentlemen (2019)
Alex Brendemühl,The German Doctor (2013)
Diego Peretti,The German Doctor (2013)
Guillermo Pfening,The German Doctor (2013)
Alec Baldwin,The Getaway (1994)
Kim Basinger,The Getaway (1994)
Michael Madsen,The Getaway (1994)
Dawid Ogrodnik,The Getaway King (2021)
Rafal Zawierucha,The Getaway King (2021)
Robert Wieckiewicz,The Getaway King (2021)
Atul Kulkarni,The Ghazi Attack (2017)
Kay Kay Menon,The Ghazi Attack (2017)
Rana Daggubati,The Ghazi Attack (2017)
Ahmed Ezz,The Ghost (2007)
Zeina,The Ghost (2007)
Chulpan Khamatova,The Ghost (2008)
Konstantin Khabenskiy,The Ghost (2008)
Vladimir Mashkov,The Ghost (2008)
Gul Panag,The Ghost (2022)
Nagarjuna Akkineni,The Ghost (2022)
Sonal Chauhan,The Ghost (2022)
Christian Bables,The Ghost Bride (2017)
Kim Chiu,The Ghost Bride (2017)
Matteo Guidicelli,The Ghost Bride (2017)
Barbie Hsu,The Ghost Inside (2005)
Beibi Gong,The Ghost Inside (2005)
Ge Hu,The Ghost Inside (2005)
Joey Wang,The Ghost Snatchers (1986)
Joyce Godenzi,The Ghost Snatchers (1986)
Shu-Yuan Hsu,The Ghost Snatchers (1986)
Ewan McGregor,The Ghost Writer (2010)
Olivia Williams,The Ghost Writer (2010)
Pierce Brosnan,The Ghost Writer (2010)
Jeab Chern-Yim,The Ghost and Master Boh (2008)
Kohtee Aramboy,The Ghost and Master Boh (2008)
Kom Chauncheun,The Ghost and Master Boh (2008)
Michael Douglas,The Ghost and the Darkness (1996)
Tom Wilkinson,The Ghost and the Darkness (1996)
Val Kilmer,The Ghost and the Darkness (1996)
Jonathan Pryce,The Ghost and the Whale (2017)
Monica Keena,The Ghost and the Whale (2017)
Tippi Hedren,The Ghost and the Whale (2017)
George Estregan,The Ghost of the Great Salt Lake (1982)
Michael Locsin,The Ghost of the Great Salt Lake (1982)
Romy Diaz,The Ghost of the Great Salt Lake (1982)
Ben Schnetzer,The Giant (2019)
Jack Kilmer,The Giant (2019)
Odessa Young,The Giant (2019)
Chris Messina,The Giant Mechanical Man (2012)
Jenna Fischer,The Giant Mechanical Man (2012)
Topher Grace,The Giant Mechanical Man (2012)
Cate Blanchett,The Gift (2000)
Katie Holmes,The Gift (2000)
Keanu Reeves,The Gift (2000)
Jason Bateman,The Gift (2015)
Joel Edgerton,The Gift (2015)
Rebecca Hall,The Gift (2015)
Ayushita,The Gift (2018)
Dion Wiyoko,The Gift (2018)
Reza Rahadian,The Gift (2018)
Anne Curtis,The Gifted (2014)
Cristine Reyes,The Gifted (2014)
Sam Milby,The Gifted (2014)
Esom,The Gifted Hands (2013)
Kim Bum,The Gifted Hands (2013)
Kim Kang-woo,The Gifted Hands (2013)
Charlie Cho,The Gigolo Revelation (1994)
Lily Lee,The Gigolo Revelation (1994)
Rena Otomo,The Gigolo Revelation (1994)
Joaquim de Almeida,The Gilded Cage (2013)
Rita Blanco,The Gilded Cage (2013)
Roland Giraud,The Gilded Cage (2013)
Embeth Davidtz,The Gingerbread Man (1998)
Kenneth Branagh,The Gingerbread Man (1998)
Robert Downey Jr.,The Gingerbread Man (1998)
Gary Busey,The Gingerdead Man (2005)
Robin Sydney,The Gingerdead Man (2005)
Han Suk-kyu,The Gingko Bed (1996)
Jin Hee-kyung,The Gingko Bed (1996)
Shim Hye-jin,The Gingko Bed (1996)
Dani Levy,The Giraffe (1998)
David Strathairn,The Giraffe (1998)
Maria Schrader,The Giraffe (1998)
Debashree Roy,The Girl (2001)
Konkona Sen Sharma,The Girl (2001)
Sabyasachi Chakrabarty,The Girl (2001)
Dusty,The Girl Has Assets (1990)
Kelly Royce,The Girl Has Assets (1990)
Rayne,The Girl Has Assets (1990)
Alicja Bachleda,The Girl Is in Trouble (2015)
Columbus Short,The Girl Is in Trouble (2015)
Wilmer Valderrama,The Girl Is in Trouble (2015)
Elisha Cuthbert,The Girl Next Door (2004)
Emile Hirsch,The Girl Next Door (2004)
Timothy Olyphant,The Girl Next Door (2004)
Lena Endre,The Girl Who Kicked the Hornet's Nest (2009)
Michael Nyqvist,The Girl Who Kicked the Hornet's Nest (2009)
Noomi Rapace,The Girl Who Kicked the Hornet's Nest (2009)
Lena Endre,The Girl Who Played with Fire (2009)
Michael Nyqvist,The Girl Who Played with Fire (2009)
Noomi Rapace,The Girl Who Played with Fire (2009)
Dieter Hallervorden,The Girl and Death (2012)
Sergey Makovetskiy,The Girl and Death (2012)
Sylvia Hoeks,The Girl and Death (2012)
Henriette Confurius,The Girl and the Spider (2021)
Liliane Amuat,The Girl and the Spider (2021)
Ursina Lardi,The Girl and the Spider (2021)
Ferdous Kaviani,The Girl by the Pond (1989)
Jamshid Mashayekhi,The Girl by the Pond (1989)
Mehdi Fathi,The Girl by the Pond (1989)
Jean-Paul Roussillon,The Girl from Paris (2001)
Mathilde Seigner,The Girl from Paris (2001)
Michel Serrault,The Girl from Paris (2001)
Ben Gazzara,The Girl from Trieste (1982)
